Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"35,577.17",441.41,"50,242.31","49,543.02","48,901.26","48,520.98","47,271.35","29,800.36","28,035.13"
Time To Second Token (ms),"3,336.27",32.01,"7,320.21","6,713.19","6,654.14","6,007.53","5,283.15","3,191.46","1,776.45"
Request Latency (ms),"54,445.82","5,199.85","69,176.18","69,086.25","68,512.54","68,343.52","67,978.14","45,900.04","45,310.13"
Inter Token Latency (ms),126.65,30.20,214.29,169.32,148.33,145.26,138.39,125.75,114.35
Output Token Throughput Per User (tokens/sec/user),8.07,4.67,33.11,9.77,9.56,9.38,8.74,7.95,7.23
Output Sequence Length (tokens),149.98,147.00,151.00,150.00,150.00,150.00,150.00,150.00,150.00
Input Sequence Length (tokens),"3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00"

Metric,Value
Output Token Throughput (tokens/sec),334.78
Request Throughput (per sec),2.23
Request Count (count),"1,280.00"
