Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),291.26,93.40,574.01,573.78,567.23,561.90,553.52,155.30,143.17
Time To Second Token (ms),91.99,27.55,419.71,419.52,419.15,284.89,72.47,30.74,29.16
Request Latency (ms),"4,862.00","4,480.15","5,925.66","5,925.02","5,923.16","5,087.86","4,923.56","4,890.35","4,516.49"
Inter Token Latency (ms),30.68,28.94,39.07,39.06,38.79,33.06,30.63,29.61,29.28
Output Token Throughput Per User (tokens/sec/user),32.83,25.60,34.55,34.55,34.41,34.38,34.15,33.78,32.65
Output Sequence Length (tokens),150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00
Input Sequence Length (tokens),"3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00"

Metric,Value
Output Token Throughput (tokens/sec),123.37
Request Throughput (per sec),0.82
Request Count (count),40.00
