Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),77.10,57.81,97.95,97.26,94.54,94.33,92.66,77.06,62.89
Time To Second Token (ms),44.91,28.99,61.36,61.27,60.93,60.84,60.30,44.59,29.73
Request Latency (ms),"1,002.95",990.08,"1,021.12","1,020.95","1,020.28","1,014.30","1,009.38","1,001.32",997.77
Inter Token Latency (ms),29.87,28.96,30.82,30.81,30.78,30.54,30.40,29.89,29.41
Output Token Throughput Per User (tokens/sec/user),33.50,32.44,34.53,34.52,34.47,34.32,34.00,33.46,32.90
Output Sequence Length (tokens),32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00
Input Sequence Length (tokens),320.00,320.00,320.00,320.00,320.00,320.00,320.00,320.00,320.00

Metric,Value
Output Token Throughput (tokens/sec),63.77
Request Throughput (per sec),1.99
Request Count (count),20.00
