Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),53.60,49.80,56.56,56.37,55.63,54.69,53.98,53.62,53.43
Time To Second Token (ms),27.43,25.97,31.71,31.39,30.12,28.54,27.90,26.98,26.26
Request Latency (ms),"6,875.59","6,768.07","6,952.33","6,950.81","6,944.73","6,937.14","6,909.03","6,876.52","6,851.22"
Inter Token Latency (ms),26.75,26.33,27.06,27.05,27.02,26.99,26.88,26.76,26.66
Output Token Throughput Per User (tokens/sec/user),37.38,36.96,37.98,37.95,37.83,37.69,37.51,37.37,37.20
Output Sequence Length (tokens),256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00
Input Sequence Length (tokens),"1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (tokens/sec),37.23
Request Throughput (per sec),0.15
Request Count (count),10.00
