Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),119.36,63.30,134.23,134.23,134.21,134.20,133.39,132.38,129.01
Time To Second Token (ms),28.51,26.59,34.60,34.24,32.80,31.01,29.10,27.45,27.06
Request Latency (ms),"4,305.27","4,071.13","5,809.56","5,664.66","5,085.06","4,360.55","4,186.26","4,129.81","4,117.94"
Inter Token Latency (ms),28.09,26.73,38.10,37.13,33.24,28.37,27.20,26.99,26.84
Output Token Throughput Per User (tokens/sec/user),35.98,26.25,37.41,37.40,37.36,37.31,37.26,37.05,36.77
Output Sequence Length (tokens),150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00
Input Sequence Length (tokens),"3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00"

Metric,Value
Output Token Throughput (tokens/sec),34.84
Request Throughput (per sec),0.23
Request Count (count),10.00
