Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"8,491.78",138.06,"25,012.40","24,805.48","24,183.12","23,778.85","7,086.90","5,519.78","3,501.25"
Time To Second Token (ms),"3,213.09",28.04,"6,976.56","6,783.19","6,645.73","6,003.81","5,186.99","3,175.91","1,187.12"
Request Latency (ms),"26,633.03","4,279.92","45,305.68","45,253.09","45,195.60","44,970.47","23,073.63","22,532.76","22,311.73"
Inter Token Latency (ms),121.77,27.80,213.54,168.63,146.14,143.69,135.94,122.76,110.73
Output Token Throughput Per User (tokens/sec/user),8.64,4.68,35.97,22.98,12.77,9.69,9.03,8.15,7.36
Output Sequence Length (tokens),149.98,148.00,151.00,150.00,150.00,150.00,150.00,150.00,150.00
Input Sequence Length (tokens),"3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00"

Metric,Value
Output Token Throughput (tokens/sec),329.47
Request Throughput (per sec),2.20
Request Count (count),640.00
