Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),53.59,50.27,75.08,73.00,64.70,54.32,51.75,51.51,50.73
Time To Second Token (ms),27.96,27.19,28.95,28.92,28.79,28.62,28.41,27.82,27.62
Request Latency (ms),923.20,911.32,938.26,938.24,938.14,938.01,928.36,923.56,914.61
Inter Token Latency (ms),28.05,27.73,28.63,28.60,28.48,28.34,28.20,28.02,27.82
Output Token Throughput Per User (tokens/sec/user),35.65,34.93,36.07,36.06,36.05,36.03,35.94,35.69,35.46
Output Sequence Length (tokens),32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00
Input Sequence Length (tokens),320.00,320.00,320.00,320.00,320.00,320.00,320.00,320.00,320.00

Metric,Value
Output Token Throughput (tokens/sec),34.65
Request Throughput (per sec),1.08
Request Count (count),10.00
