Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"2,544.83",248.29,"4,740.91","4,629.84","4,419.17","4,375.75","3,684.71","2,371.51","1,634.95"
Time To Second Token (ms),"1,930.49",74.29,"4,481.75","4,389.02","3,775.65","3,710.91","2,990.71","2,035.54",897.52
Request Latency (ms),"14,729.66","13,658.85","16,058.54","16,003.22","15,934.25","15,612.56","14,792.99","14,623.53","14,548.80"
Inter Token Latency (ms),81.78,67.31,105.29,100.82,96.43,92.95,88.25,82.19,74.00
Output Token Throughput Per User (tokens/sec/user),12.37,9.50,14.86,14.85,14.67,14.61,13.51,12.17,11.33
Output Sequence Length (tokens),149.99,149.00,151.00,150.00,150.00,150.00,150.00,150.00,150.00
Input Sequence Length (tokens),"3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00"

Metric,Value
Output Token Throughput (tokens/sec),325.02
Request Throughput (per sec),2.17
Request Count (count),320.00
